Time [s], Left [V], Right [V]
0.004490, 0.000531, 0.000999
0.004512, 0.000999, 0.001229
0.004535, 0.001229, 0.001299
0.004558, 0.001299, 0.001538
0.004580, 0.001538, 0.002116
0.004603, 0.002116, 0.002673
0.004626, 0.002673, 0.002957
0.004649, 0.002957, 0.003463
0.004671, 0.003463, 0.003932
0.004694, 0.003932, 0.004320
0.004717, 0.004320, 0.004793
0.004739, 0.004793, 0.005166
0.004762, 0.005166, 0.005521
0.004785, 0.005521, 0.005917
0.004807, 0.005917, 0.006381
0.004830, 0.006381, 0.006759
0.004853, 0.006759, 0.007094
0.004875, 0.007094, 0.007522
0.004898, 0.007522, 0.007691
0.004921, 0.007691, 0.007703
0.004943, 0.007703, 0.007805
0.004966, 0.007805, 0.007633
0.004989, 0.007633, 0.007369
0.005011, 0.007369, 0.007344
0.005034, 0.007344, 0.007335
0.005057, 0.007335, 0.007060
0.005079, 0.007060, 0.006610
0.005102, 0.006610, 0.006412
0.005125, 0.006412, 0.006109
0.005147, 0.006109, 0.005520
0.005170, 0.005520, 0.005303
0.005193, 0.005303, 0.005263
0.005215, 0.005263, 0.004754
0.005238, 0.004754, 0.004100
0.005261, 0.004100, 0.003790
0.005283, 0.003790, 0.003372
0.005306, 0.003372, 0.002787
0.005329, 0.002787, 0.002241
0.005351, 0.002241, 0.001789
0.005374, 0.001789, 0.001484
0.005397, 0.001484, 0.001012
0.005420, 0.001012, 0.000732
0.005442, 0.000732, 0.000430
0.005465, 0.000430, -0.000204
0.005488, -0.000204, -0.000522
0.005510, -0.000522, -0.000514
0.005533, -0.000514, -0.000813
0.005556, -0.000813, -0.001295
0.005578, -0.001295, -0.001248
0.005601, -0.001248, -0.001074
0.005624, -0.001074, -0.001123
0.005646, -0.001123, -0.001123
0.005669, -0.001123, -0.001054
0.005692, -0.001054, -0.000959
0.005714, -0.000959, -0.000786
0.005737, -0.000786, -0.000468
0.005760, -0.000468, -0.000087
0.005782, -0.000087, 0.000255
0.005805, 0.000255, 0.000573
0.005828, 0.000573, 0.000949
0.005850, 0.000949, 0.001441
0.005873, 0.001441, 0.001853
0.005896, 0.001853, 0.002143
0.005918, 0.002143, 0.002771
0.005941, 0.002771, 0.003265
